,Date,Service,Departure station,Arrival station,Avg trip length,Number of trips scheduled,Number of trains cancelled,Number of trains delayed on departure,Avg delay of trains delayed on departure,Avg delay of all trains on departure,Number of trains delayed on arrival,Avg delay of trains delayed on arrival,Avg delay of all trains on arrival,Comments delay on arrival,Number of trains >15 min delay,Number of trains >30 min delay,Number of trains >60 min delay,% delay from external causes,% delay infrastructure cause,% delay traffic management cause,% delay rolling stock cause,% delay station management and reutilization of stock,"% delay because of accommodation of passengers (crowd, disability, connections)",Departure region,Arrival region,Departure station: Total travelers 2023,Departure station: Total travelers 2022,Departure station: Total travelers 2021,Departure station: Total travelers 2020,Departure station: Total travelers 2019,Departure station: Total travelers 2018,Arrival station: Total travelers 2023,Arrival station: Total travelers 2022,Arrival station: Total travelers 2021,Arrival station: Total travelers 2020,Arrival station: Total travelers 2019,Arrival station: Total travelers 2018
0,2018-01,National,BORDEAUX SAINT-JEAN,PARIS MONTPARNASSE,141,870,5,289,11.24780854,3.693179191,147,28.43673469,6.511117534,,110,44,8,36.13445378,31.09243697,10.92436975,15.96638655,5.042016807,0.840336134,Nouvelle-Aquitaine,Ile-de-France,22612374.0,21353889.0,16454662.0,11184093.0,17675655.0,16080989.0,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0
1,2018-01,National,LA ROCHELLE,PARIS MONTPARNASSE,165,222,0,8,2.875,0.095795796,34,21.52401961,5.696096096,,22,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0.0,Nouvelle-Aquitaine,Ile-de-France,2925287.0,2692269.0,2059413.0,1490951.0,2235983.0,1984267.0,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0
2,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,37,9.501351351,1.003981107,26,55.69230769,7.578947368,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0,Ile-de-France,Bretagne,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0,1619395.0,1483787.0,1076265.0,745934.0,1058048.0,951271.0
3,2018-01,National,PARIS MONTPARNASSE,SAINT-MALO,156,102,0,12,19.9125,1.966666667,13,48.62307692,6.790686275,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",8,6,4,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0,Ile-de-France,Bretagne,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0,1703866.0,1638571.0,1202705.0,889726.0,1263626.0,1135793.0
4,2018-01,National,PARIS MONTPARNASSE,SAINT-PIERRE-DES-CORPS,61,391,2,61,7.796994536,0.88688946,71,12.40516432,3.346486718,,17,6,0,21.21212121,42.42424242,9.090909091,21.21212121,6.060606061,0.0,Ile-de-France,Centre-Val de Loire,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0,4252582.0,3784800.0,2918332.0,2121656.0,3710116.0,3457033.0
5,2018-01,National,QUIMPER,PARIS MONTPARNASSE,223,256,1,9,16.33333333,0.579477124,21,39.0952381,5.940849673,,21,9,2,27.77777778,55.55555556,0.0,5.555555556,5.555555556,5.555555556,Bretagne,Ile-de-France,1619395.0,1483787.0,1076265.0,745934.0,1058048.0,951271.0,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0
6,2018-01,National,RENNES,LYON PART DIEU,233,99,0,23,3.0,0.696969697,6,40.05833333,2.244612795,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",6,2,1,0.0,50.0,25.0,25.0,0.0,0.0,Bretagne,Auvergne-Rhone-Alpes,15169003.0,13921836.0,9619265.0,7431788.0,11588429.0,10418643.0,40088689.0,36558465.0,26187679.0,19541666.0,32587523.0,32555240.0
7,2018-01,National,SAINT-PIERRE-DES-CORPS,PARIS MONTPARNASSE,61,410,1,173,6.719267823,2.954808476,114,13.04561404,4.359739201,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",26,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515,Centre-Val de Loire,Ile-de-France,4252582.0,3784800.0,2918332.0,2121656.0,3710116.0,3457033.0,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0
8,2018-01,National,TOURS,PARIS MONTPARNASSE,75,194,0,12,5.727777778,0.333075601,35,11.13142857,2.929295533,,7,1,0,25.0,56.25,6.25,12.5,0.0,0.0,Centre-Val de Loire,Ile-de-France,6506313.0,6248554.0,4377052.0,3152214.0,4962177.0,4690784.0,64471254.0,56862435.0,41039816.0,32447396.0,61374056.0,59174533.0
9,2018-01,National,NANTES,STRASBOURG,303,39,0,22,2.835606061,1.664957265,5,32.98666667,5.741025641,,5,2,1,0.0,0.0,33.33333333,33.33333333,0.0,33.33333333,Pays de la Loire,Grand-Est,17082588.0,15512154.0,11031867.0,8047221.0,12961997.0,11811037.0,23907864.0,21446966.0,16328098.0,13049946.0,21465169.0,20170472.0
